# Next run begins here.
Lifetime (time steps): 147 	 Distance traveled: 840 	 Average speed: 5.71 	 Overall route: [8, 9, 10, 15, 1, 16, 17, 27]
Lifetime (time steps): 46 	 Distance traveled: 313 	 Average speed: 6.80 	 Overall route: [20, 19, 21, 22]
Lifetime (time steps): 122 	 Distance traveled: 636 	 Average speed: 5.21 	 Overall route: [22, 21, 1, 16, 2]
Lifetime (time steps): 102 	 Distance traveled: 409 	 Average speed: 4.01 	 Overall route: [22, 21, 4, 5, 26]
Lifetime (time steps): 151 	 Distance traveled: 697 	 Average speed: 4.62 	 Overall route: [0, 18, 1, 3, 9, 10, 11, 12]
Lifetime (time steps): 104 	 Distance traveled: 621 	 Average speed: 5.97 	 Overall route: [12, 11, 10, 15, 1, 18, 0]
Lifetime (time steps): 91 	 Distance traveled: 517 	 Average speed: 5.68 	 Overall route: [0, 18, 1, 3, 9, 8]
Lifetime (time steps): 158 	 Distance traveled: 639 	 Average speed: 4.04 	 Overall route: [13, 11, 10, 9, 3, 4, 23]
Lifetime (time steps): 149 	 Distance traveled: 727 	 Average speed: 4.88 	 Overall route: [22, 21, 1, 16, 17, 27]
Lifetime (time steps): 163 	 Distance traveled: 722 	 Average speed: 4.43 	 Overall route: [23, 4, 21, 1, 16, 2]
Lifetime (time steps): 144 	 Distance traveled: 495 	 Average speed: 3.44 	 Overall route: [7, 6, 3, 4, 23]
Lifetime (time steps): 98 	 Distance traveled: 722 	 Average speed: 7.37 	 Overall route: [23, 4, 21, 1, 16, 2]
Lifetime (time steps): 166 	 Distance traveled: 806 	 Average speed: 4.86 	 Overall route: [26, 5, 4, 3, 9, 10, 11, 12]
Lifetime (time steps): 152 	 Distance traveled: 971 	 Average speed: 6.39 	 Overall route: [7, 6, 3, 4, 21, 1, 18, 0]
Lifetime (time steps): 66 	 Distance traveled: 318 	 Average speed: 4.82 	 Overall route: [13, 11, 10, 15, 14]
Lifetime (time steps): 61 	 Distance traveled: 305 	 Average speed: 5.00 	 Overall route: [7, 6, 24, 5, 26]
Lifetime (time steps): 106 	 Distance traveled: 492 	 Average speed: 4.64 	 Overall route: [26, 5, 4, 21, 19, 20]
Lifetime (time steps): 87 	 Distance traveled: 316 	 Average speed: 3.63 	 Overall route: [23, 4, 21, 22]
Lifetime (time steps): 93 	 Distance traveled: 550 	 Average speed: 5.91 	 Overall route: [14, 15, 1, 3, 6, 7]
Lifetime (time steps): 88 	 Distance traveled: 399 	 Average speed: 4.53 	 Overall route: [20, 19, 21, 4, 23]
Lifetime (time steps): 221 	 Distance traveled: 930 	 Average speed: 4.21 	 Overall route: [20, 19, 21, 4, 3, 9, 10, 11, 12]
Lifetime (time steps): 74 	 Distance traveled: 527 	 Average speed: 7.12 	 Overall route: [14, 15, 1, 16, 2]
Lifetime (time steps): 95 	 Distance traveled: 572 	 Average speed: 6.02 	 Overall route: [0, 18, 1, 21, 22]
Lifetime (time steps): 52 	 Distance traveled: 278 	 Average speed: 5.35 	 Overall route: [0, 18, 19, 20]
Lifetime (time steps): 203 	 Distance traveled: 847 	 Average speed: 4.17 	 Overall route: [22, 21, 4, 3, 9, 10, 11, 12]
Lifetime (time steps): 93 	 Distance traveled: 460 	 Average speed: 4.95 	 Overall route: [13, 11, 10, 9, 3, 6, 7]
Lifetime (time steps): 141 	 Distance traveled: 533 	 Average speed: 3.78 	 Overall route: [23, 4, 3, 9, 8]
Lifetime (time steps): 107 	 Distance traveled: 719 	 Average speed: 6.72 	 Overall route: [20, 19, 21, 1, 16, 2]
Lifetime (time steps): 80 	 Distance traveled: 540 	 Average speed: 6.75 	 Overall route: [8, 9, 3, 6, 24, 25]
Lifetime (time steps): 77 	 Distance traveled: 275 	 Average speed: 3.57 	 Overall route: [23, 4, 5, 26]
Lifetime (time steps): 150 	 Distance traveled: 533 	 Average speed: 3.55 	 Overall route: [23, 4, 3, 9, 8]
Lifetime (time steps): 103 	 Distance traveled: 643 	 Average speed: 6.24 	 Overall route: [14, 15, 1, 21, 22]
Lifetime (time steps): 117 	 Distance traveled: 492 	 Average speed: 4.21 	 Overall route: [20, 19, 21, 4, 5, 26]
Lifetime (time steps): 146 	 Distance traveled: 815 	 Average speed: 5.58 	 Overall route: [26, 5, 4, 21, 1, 16, 2]
Lifetime (time steps): 204 	 Distance traveled: 712 	 Average speed: 3.49 	 Overall route: [7, 6, 3, 4, 21, 19, 20]
Lifetime (time steps): 214 	 Distance traveled: 930 	 Average speed: 4.35 	 Overall route: [20, 19, 21, 4, 3, 9, 10, 11, 12]
Lifetime (time steps): 90 	 Distance traveled: 275 	 Average speed: 3.06 	 Overall route: [23, 4, 5, 26]
Lifetime (time steps): 116 	 Distance traveled: 533 	 Average speed: 4.59 	 Overall route: [23, 4, 3, 9, 8]
Lifetime (time steps): 36 	 Distance traveled: 130 	 Average speed: 3.61 	 Overall route: [2, 16, 2]
Lifetime (time steps): 115 	 Distance traveled: 636 	 Average speed: 5.53 	 Overall route: [22, 21, 1, 16, 2]
Lifetime (time steps): 57 	 Distance traveled: 230 	 Average speed: 4.04 	 Overall route: [22, 21, 22]
Lifetime (time steps): 65 	 Distance traveled: 348 	 Average speed: 5.35 	 Overall route: [13, 11, 10, 9, 8]
Lifetime (time steps): 158 	 Distance traveled: 884 	 Average speed: 5.59 	 Overall route: [12, 11, 10, 15, 1, 21, 19, 20]
Lifetime (time steps): 162 	 Distance traveled: 533 	 Average speed: 3.29 	 Overall route: [8, 9, 3, 4, 23]
